id,nombre,instrucciones,patron_movimiento,nivel_dificultad,unilateral,equipamiento,musculo_primario,musculos_secundarios,articulaciones,origen,estado
e0000000-0001-4000-8000-000000000001,Sentadilla con barra,"Barra sobre trapecios, pies al ancho de hombros. Bajar hasta muslos paralelos manteniendo la espalda neutra.",DOMINANTE_RODILLA,INTERMEDIO,false,BARRA|DISCOS|RACK_SENTADILLA,CUADRICEPS,GLUTEO|ERECTORES_LUMBARES,RODILLA|CADERA|TOBILLO|COLUMNA_LUMBAR,CATALOGO_BASE,APROBADO
e0000000-0002-4000-8000-000000000002,Peso muerto rumano,"Barra frente a muslos, bisagra de cadera con rodillas semiflexionadas. Bajar hasta tension de isquiotibiales.",DOMINANTE_CADERA,INTERMEDIO,false,BARRA|DISCOS,ISQUIOTIBIALES,GLUTEO|ERECTORES_LUMBARES,CADERA|COLUMNA_LUMBAR|RODILLA,CATALOGO_BASE,APROBADO
e0000000-0003-4000-8000-000000000003,Press de banca plano,"Acostado en banco plano, barra al pecho con agarre medio. Empujar hasta extender sin bloquear codos.",EMPUJE_HORIZONTAL,PRINCIPIANTE,false,BARRA|DISCOS|BANCO_PLANO,PECTORAL,TRICEPS|DELTOIDES_ANTERIOR,HOMBRO|CODO|MUNECA,CATALOGO_BASE,APROBADO
e0000000-0004-4000-8000-000000000004,Remo con barra,"Tronco inclinado a 45 grados, barra desde el suelo al abdomen bajo. Escapulas retraidas al final.",TRACCION_HORIZONTAL,PRINCIPIANTE,false,BARRA|DISCOS,DORSAL,BICEPS|TRAPECIO,HOMBRO|CODO|COLUMNA_LUMBAR,CATALOGO_BASE,APROBADO
e0000000-0005-4000-8000-000000000005,Dominadas,Colgado de la barra con agarre prono. Subir hasta pasar la barbilla y bajar controlado.,TRACCION_VERTICAL,AVANZADO,false,BARRA_DOMINADAS,DORSAL,BICEPS,HOMBRO|CODO,CATALOGO_BASE,APROBADO
e0000000-0006-4000-8000-000000000006,Press militar con mancuernas,"Sentado o de pie, mancuernas a la altura de hombros. Empujar sobre la cabeza sin arquear la lumbar.",EMPUJE_VERTICAL,INTERMEDIO,false,MANCUERNAS|BANCO_PLANO,DELTOIDES_LATERAL,TRICEPS|TRAPECIO,HOMBRO|CODO,CATALOGO_BASE,APROBADO
e0000000-0007-4000-8000-000000000007,Plancha abdominal,"Apoyo en antebrazos y puntas de pies, cuerpo en linea recta. Sostener sin elevar la cadera.",CORE,PRINCIPIANTE,false,,ABDOMINALES,OBLICUOS,HOMBRO|COLUMNA_LUMBAR,CATALOGO_BASE,APROBADO
e0000000-0008-4000-8000-000000000008,Curl de biceps con mancuernas,"De pie, mancuernas a los costados. Flexionar codos sin balancear el tronco.",AISLAMIENTO_SUPERIOR,PRINCIPIANTE,false,MANCUERNAS,BICEPS,ANTEBRAZO,CODO|MUNECA,CATALOGO_BASE,APROBADO
e0000000-0009-4000-8000-000000000009,Extension de cuadriceps en maquina,"Sentado en la maquina, extender rodillas hasta casi el bloqueo y bajar controlado.",AISLAMIENTO_INFERIOR,PRINCIPIANTE,false,MAQUINA_CUADRICEPS,CUADRICEPS,,RODILLA,CATALOGO_BASE,APROBADO
e0000000-0010-4000-8000-000000000010,Hip thrust,"Espalda apoyada en banco, barra sobre la cadera. Elevar hasta alinear rodillas, cadera y hombros.",DOMINANTE_CADERA,INTERMEDIO,false,BARRA|DISCOS|BANCO_PLANO,GLUTEO,ISQUIOTIBIALES,CADERA|RODILLA,CATALOGO_BASE,APROBADO
e0000000-0011-4000-8000-000000000011,Fondos en paralelas,"Suspendido en paralelas, bajar hasta hombros a la altura de codos y empujar sin encoger hombros.",EMPUJE_VERTICAL,INTERMEDIO,false,PARALELAS,TRICEPS,PECTORAL|DELTOIDES_ANTERIOR,HOMBRO|CODO,CATALOGO_BASE,APROBADO
e0000000-0012-4000-8000-000000000012,Jalon al pecho en polea alta,"Sentado frente a la polea, traccionar la barra al pecho alto con el tronco estable.",TRACCION_VERTICAL,PRINCIPIANTE,false,POLEA_ALTA,DORSAL,BICEPS,HOMBRO|CODO,CATALOGO_BASE,APROBADO
e0000000-0013-4000-8000-000000000013,Zancadas caminando con mancuernas,"Paso largo al frente con mancuerna en cada mano, bajar hasta ambas rodillas a 90 grados y alternar.",DOMINANTE_RODILLA,PRINCIPIANTE,true,MANCUERNAS,CUADRICEPS,GLUTEO,RODILLA|CADERA|TOBILLO,CATALOGO_BASE,APROBADO
e0000000-0014-4000-8000-000000000014,Puente de gluteo,"Acostado boca arriba con rodillas flexionadas, elevar la cadera hasta alinear rodillas, cadera y hombros.",DOMINANTE_CADERA,PRINCIPIANTE,false,,GLUTEO,ISQUIOTIBIALES,CADERA|RODILLA,CATALOGO_BASE,APROBADO
